Podcast Name,RSS URL,Site URL,Exclude
The Swyx Mixtape,https://feeds.transistor.fm/learn-in-podcast,https://transistor.fm,0
Going Deep with Chad and JT,https://www.omnycontent.com/d/playlist/885ace83-027a-47ad-ad67-aca7002f1df8/bec1e3b0-e0bc-4bfc-a9d2-aca900022915/e2a84fa8-ca61-495c-9da3-aca90002291e/podcast.rss,https://www.omnycontent.com,0
CHGO Chicago Bears Podcast,https://feeds.simplecast.com/oSbdDATR,https://simplecast.com,0
CryptoNews Podcast,https://feeds.buzzsprout.com/1735660.rss,https://feeds.buzzsprout.com,0
Not Investment Advice,https://feeds.acast.com/public/shows/607879ddfbe1eb33d6525119,https://feeds.acast.com,0
Why Is This Happening? The Chris Hayes Podcast,https://podcastfeeds.nbcnews.com/Ftpd36Dg,https://podcastfeeds.nbcnews.com,0
The Lawfare Podcast,https://feeds.acast.com/public/shows/60518a52f69aa815d2dba41c,https://feeds.acast.com,0
Bodega Boys,https://feeds.soundcloud.com/users/soundcloud:users:169774121/sounds.rss,https://feeds.soundcloud.com,0
99% Invisible,https://feeds.simplecast.com/BqbsxVfO,https://simplecast.com,0
Waveform: The MKBHD Podcast,https://feeds.megaphone.fm/STU4418364045,https://megaphone.fm,0
The Full Go with Jason Goff,https://feeds.megaphone.fm/the-full-go,https://megaphone.fm,0
Impolitic with John Heilemann,https://feeds.megaphone.fm/hell-high-water,https://megaphone.fm,0
The Prestige TV Podcast,https://feeds.megaphone.fm/tvconcierge,https://megaphone.fm,0
People I (Mostly) Admire,https://feeds.simplecast.com/rP60Wf24,https://simplecast.com,0
Bad Bets,https://video-api.wsj.com/podcast/rss/wsj/bad-bets?partner=itunes,https://video-api.wsj.com,0
Plain English with Derek Thompson,https://feeds.megaphone.fm/plain-english,https://megaphone.fm,0
Hidden Brain,https://feeds.simplecast.com/kwWc0lhf,https://simplecast.com,0
Intelligence Squared,https://feeds.megaphone.fm/NSR6363847171,https://megaphone.fm,0
ACQ2 by Acquired,https://feeds.transistor.fm/acq2,https://transistor.fm,0
The Sporkful,https://feeds.simplecast.com/n91GPFY5,https://simplecast.com,0
Christopher Kimball’s Milk Street Radio,https://publicfeeds.net/f/9135/feed-rss.xml,https://publicfeeds.net,0
Big Technology Podcast,https://feeds.megaphone.fm/LI3617121267,https://megaphone.fm,0
The Town with Matthew Belloni,https://feeds.megaphone.fm/the-town-with-matthew-belloni,https://megaphone.fm,0
The Ringer F1 Show,https://feeds.megaphone.fm/paddock-pass,https://megaphone.fm,0
SI Media With Jimmy Traina,https://feeds.redcircle.com/e3b3fd60-e66c-4564-a045-969f9b0fa72a,https://feeds.redcircle.com,0
The Powers That Be: Daily,https://feeds.megaphone.fm/powers-that-be,https://megaphone.fm,0
My Year in Mensa,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/b940fe2f-2f6a-447a-91b5-ae2e00387257/e02c6837-fce9-4fb1-85f5-ae2e00387265/podcast.rss,https://www.omnycontent.com,0
